method,path,name,tags,classification
DELETE,/auth/keys/{prefix},revoke_api_key,authentication,legacy_unversioned
DELETE,/backup/{backup_id},delete_backup,backup,legacy_unversioned
DELETE,/projects/maintenance/projects/{project_id},delete_project,projects,legacy_unversioned
DELETE,/projects/{project_id},delete_project,projects,legacy_unversioned
DELETE,/story-development/arcs/selections/{selection_id},delete_arc_selection,story-development,dual
DELETE,/story-development/braindump/sessions/{session_id},delete_brain_dump_session,story-development,dual
DELETE,/story-development/flow/stages/{stage_id},delete_flow_stage,story-development,dual
DELETE,/story-development/relationships/{edge_id},delete_relationship,story-development,dual
DELETE,/story-development/storyboard/cards/{card_id},delete_storyboard_card,story-development,dual
DELETE,/v1/canon/annotations/{annotation_id},delete_annotation,canon-customization,canonical_v1
DELETE,/v1/canon/profiles/{profile_id},delete_profile,canon-customization,canonical_v1
DELETE,/v1/mythos/entries/{mythos_id},delete_entry,mythos-library,canonical_v1
DELETE,/v1/patterns/entries/{pattern_id},delete_entry,pattern-library,canonical_v1
DELETE,/v1/story-development/arcs/selections/{selection_id},delete_arc_selection,story-development,canonical_v1
DELETE,/v1/story-development/braindump/sessions/{session_id},delete_brain_dump_session,story-development,canonical_v1
DELETE,/v1/story-development/flow/stages/{stage_id},delete_flow_stage,story-development,canonical_v1
DELETE,/v1/story-development/relationships/{edge_id},delete_relationship,story-development,canonical_v1
DELETE,/v1/story-development/storyboard/cards/{card_id},delete_storyboard_card,story-development,canonical_v1
GET,/,serve_frontend,,internal
GET,/auth/keys,list_api_keys,authentication,legacy_unversioned
GET,/backup/latest,get_latest_backup,backup,legacy_unversioned
GET,/backup/list,list_backups,backup,legacy_unversioned
GET,/docs,swagger_ui_html,,internal
GET,/docs/oauth2-redirect,swagger_ui_redirect,,internal
GET,/health/,health_check,health,internal
GET,/health/llm,llm_health_check,health,internal
GET,/health/metrics,get_metrics,health,internal
GET,/health/ready,readiness_check,health,internal
GET,/jobs/{job_id}/attempts,get_attempts,jobs,dual
